,Fund_Ticker,Benchmark_Index,R_Squared,Beta,Alpha,Treynor_Ratio,Currency,Year_Trailing,Std_Dev,Return,Sharpe_Ratio,Sortino_Ratio
985,VWNDX,S&P 500 TR USD,91.39,1.1,-0.29,20.63,USD,3,10.42,22.78,2.03,3.86
986,OGNAX,Barclays US Agg Bond TR USD,0.09,0.03,1.44,44.06,USD,3,3.17,1.57,0.49,0.82
987,JRNAX,Morningstar Moderate Target Risk,68.52,0.66,-5.74,1.52,USD,3,5.05,1.06,0.22,0.3
988,VNYTX,Barclays Municipal TR USD,98.54,1.11,-0.18,4.56,USD,3,4.29,5.14,1.18,1.96
989,PRFHX,Barclays Municipal TR USD,92.6,1.36,1.38,5.81,USD,3,5.42,7.97,1.44,2.28
990,OMEAX,S&P 500 TR USD,82.78,1.15,-3.85,16.94,USD,3,11.43,19.55,1.62,3.02
991,OSMAX,MSCI ACWI Ex USA NR USD,77.88,0.87,10.14,22.90,USD,3,12.57,19.95,1.52,2.57
992,FKTHX,Morningstar Moderate Target Risk,95.95,1.33,-0.42,10.49,USD,3,8.64,13.97,1.56,2.72
993,VMNIX,Barclays US Agg Bond TR USD,0.1,0.04,3.48,88.59,USD,3,3.53,3.65,1.02,1.92
994,AIVSX,S&P 500 TR USD,95.63,0.92,1.39,22.52,USD,3,8.53,20.83,2.27,4.51
995,NEWFX,MSCI ACWI Ex USA NR USD,92.9,0.87,0.42,10.40,USD,3,11.54,9.11,0.81,1.28
996,FBMPX,MSCI ACWI NR USD,70.53,0.89,13.66,32.64,USD,3,11.2,29.26,2.36,5.49
997,MAEFX,MSCI ACWI Ex USA NR USD,82.1,1.03,3.6,13.56,USD,3,14.46,13.97,0.98,1.62
998,TFSCX,MSCI ACWI Ex USA NR USD,87.01,0.82,3.74,14.81,USD,3,11.28,12.25,1.08,1.75
999,FKGRX,S&P 500 TR USD,89.32,0.93,-0.01,20.70,USD,3,8.87,19.25,2.04,4.12
1000,RBBAX,Morningstar Moderate Target Risk,86.77,0.65,1.19,12.60,USD,3,4.44,8.23,1.8,3.23
1001,OPCAX,Barclays Municipal TR USD,83.73,1.6,1.49,5.72,USD,3,6.7,9.22,1.34,2.21
1002,PFORX,Barclays US Agg Bond TR USD,53.67,0.82,5.51,9.98,USD,3,3.03,8.23,2.61,5.08
1003,PLMAX,BofAML USD LIBOR 3 Mon CM,11.59,67.51,-19.35,-0.00,USD,3,6.97,-0.13,0.01,0.01
1004,MAPYX,Barclays Municipal TR USD,95.78,1.5,-1.29,3.82,USD,3,5.85,5.78,0.98,1.53
1005,TFSIX,MSCI ACWI NR USD,80.21,0.69,7.03,26.03,USD,3,8.08,17.96,2.09,4.42
1006,OPIGX,Barclays US Agg Bond TR USD,86.1,1.05,2.53,5.44,USD,3,3.08,5.78,1.83,3.29
1007,JCHAX,MSCI ACWI Ex USA NR USD,70.24,0.93,3.61,13.86,USD,3,14.12,12.9,0.93,1.51
1008,FSCSX,MSCI ACWI NR USD,54.43,0.93,8.97,25.53,USD,3,13.2,23.71,1.68,3.12
