,Fund_Ticker,Status,TTM_Yield_in_percent,PortfolioMktValue_in_millions,TotalAssets_in_millions,ExpenseRatio_in_percent,Net Expense Ratio %,Gross Expense Ratio %,Turnover_in_percent,Yield_in_percent,Status,FeeLevel,Fund_Manager,Manager_Start_Date,Fund_Inception,MorningstarCategory,InvestmentStyle,FeeLevel,Load,Max Front Load %,Max Back Load %,Return
91,VFFVX,Open,1.45,16800.0,1900.0,0.18,0.18,0.18,7,2.10,Open,Low,Walter Nejman,2013-02-22 00:00:00,08/18/2010,Target Date 2051+,Large Blend,Low,None,,,13.63
92,VTTSX,Open,1.27,16800.0,543.5,0.18,0.18,0.18,11,2.10,Open,Low,Walter Nejman,2013-02-22 00:00:00,01/19/2012,Target Date 2051+,Large Blend,Low,None,,,14.54
93,VTINX,Open,1.64,16800.0,11500.0,0.16,0.16,0.16,6,1.77,Open,Low,Walter Nejman,2013-02-22 00:00:00,10/27/2003,Retirement Income,Large Blend,Low,None,,,5.62
94,VTMFX,Open,1.96,16800.0,1900.0,0.12,0.12,0.12,9,1.57,Open,Low,James M. D'Arcy,2013-06-28 00:00:00,09/06/1994,Conservative Allocation,Large Blend,Low,None,,,7.7
95,VTCIX,Open,1.37,16800.0,6300.0,0.08,0.08,0.08,4,1.58,Open,Low,Michael H. Buek,1994-09-06 00:00:00,02/24/1999,Large Blend,Large Blend,Low,None,,,5.59
96,VTMSX,Open,0.87,16800.0,3500.0,0.12,0.12,0.12,31,1.12,Open,Low,Michael H. Buek,1999-03-25 00:00:00,03/25/1999,Small Blend,Small Blend,Low,None,,,10.57
97,VTBIX,Open,2.22,16800.0,88600.0,0.12,0.12,0.12,111,1.96,Open,Low,Joshua C. Barrickman,2010-01-31 00:00:00,01/26/2009,Intermediate-Term Bond,High/Moderate,Low,None,,,4.54
98,VBMFX,Open,2.43,16800.0,132700.0,0.20,0.20,0.20,73,1.93,Open,Low,Joshua C. Barrickman,2013-02-22 00:00:00,12/11/1986,Intermediate-Term Bond,High/Moderate,Low,None,,,6.36
99,VTIFX,Open,1.57,16800.0,29700.0,0.12,0.12,0.12,31,1.13,Open,Low,Yan Pu,2013-05-31 00:00:00,05/31/2013,World Bond,Mid/Extensive,Low,None,,,4.61
100,VGTSX,Open,3.28,16800.0,134800.0,0.22,0.22,0.22,5,--,Open,Low,Michael Perre,2008-08-12 00:00:00,04/29/1996,Foreign Large Blend,Large Blend,Low,None,,,4.92
101,VTSMX,Open,1.58,16800.0,379800.0,0.17,0.17,0.17,4,1.66,Open,Low,Gerard C. O'Reilly,1994-12-31 00:00:00,04/27/1992,Large Blend,Large Blend,Low,None,,,9.49
102,VWUSX,Open,0.34,16800.0,6200.0,0.44,0.45,0.45,36,0.44,Open,Low,Ian Tabberer,2014-02-21 00:00:00,01/06/1959,Large Growth,Large Growth,Low,None,,,10.3
103,VUVLX,Open,1.64,16800.0,1200.0,0.29,0.30,0.30,57,1.83,Open,Low,James D. Troyer,2012-01-27 00:00:00,06/29/2000,Large Value,Large Value,Low,None,,,7.2
104,VIVAX,Open,2.05,16800.0,36000.0,0.24,0.24,0.24,25,2.19,Open,Low,Gerard C. O'Reilly,1994-12-31 00:00:00,11/02/1992,Large Value,Large Value,Low,None,,,9.52
105,VWINX,Open,2.94,16800.0,40500.0,0.25,0.25,0.25,109,2.42,Open,Low,W. Michael Reckmeyer,2007-01-01 00:00:00,07/01/1970,Conservative Allocation,Large Value,Low,None,,,10.06
106,VWELX,Limited,2.31,16800.0,89500.0,0.26,0.26,0.26,35,2.14,Limited,Low,John C. Keogh,2006-12-31 00:00:00,07/01/1929,Moderate Allocation,Large Value,Low,None,,,8.27
107,VWNFX,Open,2.02,16800.0,51400.0,0.36,0.36,0.36,27,2.04,Open,Low,David W. Ganucheau,2013-02-27 00:00:00,06/24/1985,Large Value,Large Value,Low,None,,,11.04
108,VWNDX,Open,1.18,16800.0,18500.0,0.37,0.37,0.37,40,1.32,Open,Low,Richard S. Pzena,2012-08-02 00:00:00,10/23/1958,Large Value,Large Value,Low,None,,,11.54
109,AAATX,Open,1.96,16800.0,1400.0,0.71,0.71*,0.81,18,1.73,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2007,Target Date 2000-2010,Large Blend,Low,5.75,5.75,,3.71
110,AABTX,Open,1.51,16800.0,2500.0,0.70,0.70*,0.80,7,1.56,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2007,Target Date 2011-2015,Large Blend,Low,5.75,5.75,,3.97
111,AACTX,Open,1.37,16800.0,4400.0,0.73,0.73*,0.83,3,1.33,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2007,Target Date 2016-2020,Large Blend,Low,5.75,5.75,,4.12
112,AADTX,Open,1.22,16800.0,4100.0,0.74,0.74*,0.84,2,1.21,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2007,Target Date 2021-2025,Large Blend,Low,5.75,5.75,,4.72
113,AAETX,Open,1.20,16800.0,4200.0,0.75,0.75*,0.85,2,1.18,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2007,Target Date 2026-2030,Large Blend,Low,5.75,5.75,,5.07
114,AAFTX,Open,1.18,16800.0,3000.0,0.76,0.76*,0.86,2,1.15,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2007,Target Date 2031-2035,Large Growth,Low,5.75,5.75,,5.08
115,AAGTX,Open,1.14,16800.0,2700.0,0.76,0.76*,0.86,2,1.13,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2007,Target Date 2036-2040,Large Growth,Low,5.75,5.75,,5.15
116,AAHTX,Open,1.12,16800.0,1600.0,0.76,0.76*,0.86,2,1.10,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2007,Target Date 2041-2045,Large Growth,Low,5.75,5.75,,5.15
117,AALTX,Open,1.12,16800.0,1300.0,0.77,0.77*,0.87,2,1.08,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2007,Target Date 2046-2050,Large Growth,Low,5.75,5.75,,5.14
118,AAMTX,Open,1.05,16800.0,431.1,0.79,0.79*,0.89,6,1.11,Open,Low,Bradley J. Vogt,2012-01-01 00:00:00,02/01/2010,Target Date 2051+,Large Growth,Low,5.75,5.75,,11.06
119,AMCPX,Open,0.02,16800.0,44500.0,0.70,0.70,0.70,29,0.24,Open,Low,Bradley J. Vogt,2011-05-01 00:00:00,05/01/1967,Large Growth,Large Growth,Low,5.75,5.75,,11.51
120,ABALX,Open,1.44,16800.0,79900.0,0.61,0.61,0.61,55,1.40,Open,Low,Eugene P. Stein,2011-03-01 00:00:00,07/25/1975,Moderate Allocation,Large Blend,Low,5.75,5.75,,10.75
121,AHITX,Open,6.22,16800.0,19700.0,0.66,0.66,0.66,62,5.31,Open,Low,Laurentius Harrer,2011-12-01 00:00:00,02/19/1988,High Yield Bond,Low/Limited,Low,3.75,3.75,,8.24
122,AMRMX,Open,1.79,16800.0,36200.0,0.61,0.61,0.61,18,1.89,Open,Low,William L. Robbins,2008-01-01 00:00:00,02/21/1950,Large Value,Large Value,Low,5.75,5.75,,11.64
123,CBAAX,Open,1.55,16800.0,2900.0,0.73,0.73*,0.83,--,1.43,Open,Low,Bradley J. Vogt,2012-05-18 00:00:00,05/18/2012,Moderate Allocation,Large Blend,Low,5.75,5.75,,11.30
