"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Irs Mxn R 5.000 09/19/12-5y* Myc","0.41","INTEREST RATE SWAP","-","-","-","64000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-09-13","5","-"
"Triborough Brdg & Tunl Auth","0.4","MUNI BOND - REVENUE","-","-","-","4900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2028-11-15","0.55","-"
"Ois Usd Fedl01/1.0 10/15/15 Cme","0.39","INTEREST RATE SWAP","-","-","-","4800000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-10-15","1","-"
"Cdx Itraxx Main21 5y Bp Ice","0.39","CREDIT DEFAULT SWAP","-","-","-","3400000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Intesa Sanpaolo S P A 144A 3.125%","0.38","BOND - CORPORATE BOND","-","-","-","4600000","4600000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-01-15","3.12","-"
"Csfb Coml Mtg Ptc 2006-C4 CMO 5.46%","0.38","BOND - COMMERCIAL MBS","-","-","-","4312518","-24087","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2039-09-15","5.46","-"
"Irs Usd 3.000 09/21/16-1y (Grn) Cme","0.37","INTEREST RATE SWAP","-","-","-","4500000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-09-21","3","-"
"FNMA","0.36","BOND - GOV'T AGENCY PASS-THRU","-","-","-","4000000","4000000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2037-08-15","5.5","-"
"FNMA 2.96%","0.34","BOND - GOV'T AGENCY PASS-THRU","-","-","-","4094072","-5928","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2022-05-01","2.96","-"
"FNMA CMO 3.75%","0.34","BOND - GOV'T AGENCY CMO","-","-","-","4480240","41741","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2042-07-25","3.75","-"
"Ally Finl 5.5%","0.34","BOND - CORPORATE BOND","-","-","-","3800000","1200000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-02-15","5.5","-"
"Mexico La Sp Hus","0.33","CREDIT DEFAULT SWAP","-","-","-","4000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2018-12-20","1","-"
"Spain Gov't Sw Sp Dub","0.33","CREDIT DEFAULT SWAP","-","-","-","4000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Spain Gov't Sw Sp Jpm","0.33","CREDIT DEFAULT SWAP","-","-","-","4000000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2019-06-20","1","-"
"Cwabs Inc 2007-4 FRN","0.33","BOND - ASSET BACKED","-","-","-","4150329","4150329","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2029-03-25","5.53","-"
"US Treasury TIP 2%","0.32","BOND - GOV'T INFLATION PROTECTED","-","-","-","3344096","44548","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2026-01-15","2","-"
"J P Morgan Chase & Co Mtn Be FRN","0.32","BOND - CORPORATE BOND","-","-","-","3900000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-02-26","0.91","-"
"Irs Mxn R 5.000 09/19/12-5y* Brc","0.31","INTEREST RATE SWAP","-","-","-","48600000","0","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2017-09-13","5","-"
"Mexico La Sp Gst","0.3","CREDIT DEFAULT SWAP","-","-","-","3600000","3600000","-","-","-","-","-","-","-","-","-","-","-","-","USD","-","-","-","2016-06-20","1","-"
